wavelength (nm),refractive index
4418.86,3.42537
4429.04,3.42533
4439.25,3.4253
4449.49,3.42526
4459.74,3.42523
4470.02,3.4252
4480.33,3.42516
4490.66,3.42513
4501.01,3.4251
4511.38,3.42507
4521.78,3.42503
4532.21,3.425
4542.66,3.42497
4553.13,3.42494
4563.62,3.42491
4574.14,3.42487
4584.69,3.42484
4595.26,3.42481
4605.85,3.42478
4616.47,3.42475
4627.11,3.42472
4637.78,3.42469
4648.47,3.42466
4659.18,3.42463
4669.92,3.4246
4680.69,3.42456
4691.48,3.42453
4702.3,3.4245
4713.13,3.42447
4724,3.42444
4734.89,3.42442
4745.8,3.42439
4756.75,3.42436
4767.71,3.42433
4778.7,3.4243
4789.72,3.42427
4800.76,3.42424
4811.83,3.42421
4822.92,3.42418
4834.04,3.42416
4845.18,3.42413
4856.35,3.4241
4867.54,3.42407
4878.76,3.42404
4890.01,3.42401
4901.28,3.42399
4912.58,3.42396
4923.91,3.42393
4935.26,3.4239
4946.64,3.42388
4958.04,3.42385
4969.47,3.42382
4980.92,3.4238
4992.41,3.42377
5003.91,3.42374
5015.45,3.42372
5027.01,3.42369
5038.6,3.42367
5050.22,3.42364
5061.86,3.42361
5073.53,3.42359
5085.22,3.42356
5096.94,3.42354
5108.69,3.42351
5120.47,3.42349
5132.27,3.42346
5144.11,3.42344
5155.96,3.42341
5167.85,3.42339
5179.76,3.42336
5191.7,3.42334
5203.67,3.42331
5215.67,3.42329
5227.69,3.42326
5239.74,3.42324
5251.82,3.42321
5263.93,3.42319
5276.06,3.42317
5288.22,3.42314
5300.42,3.42312
5312.63,3.4231
5324.88,3.42307
5337.16,3.42305
5349.46,3.42303
5361.79,3.423
5374.15,3.42298
5386.54,3.42296
5398.96,3.42293
5411.4,3.42291
5423.88,3.42289
5436.38,3.42287
5448.91,3.42284
5461.47,3.42282
5474.06,3.4228
5486.68,3.42278
5499.33,3.42275
5512.01,3.42273
5524.71,3.42271
5537.45,3.42269
5550.22,3.42267
5563.01,3.42265
5575.83,3.42262
5588.69,3.4226
5601.57,3.42258
5614.48,3.42256
5627.43,3.42254
5640.4,3.42252
5653.4,3.4225
5666.43,3.42248
5679.5,3.42246
5692.59,3.42244
5705.71,3.42242
5718.87,3.4224
5732.05,3.42238
5745.26,3.42236
5758.51,3.42234
5771.78,3.42231
5785.09,3.42229
5798.42,3.42228
5811.79,3.42226
5825.19,3.42224
5838.62,3.42222
5852.07,3.4222
5865.57,3.42218
5879.09,3.42216
5892.64,3.42214
5906.22,3.42212
5919.84,3.4221
5933.49,3.42208
5947.16,3.42206
