wavelength (nm),refractive index
569.377,1.472231347
570.689,1.472179527
572.005,1.472127918
573.324,1.472076517
574.645,1.472025324
575.97,1.471974336
577.298,1.471923552
578.629,1.471872972
579.962,1.471822594
581.299,1.471772417
582.639,1.471722439
583.983,1.471672659
585.329,1.471623077
586.678,1.47157369
588.031,1.471524498
589.386,1.471475499
590.745,1.471426692
592.107,1.471378076
593.471,1.471329649
594.84,1.471281411
596.211,1.471233361
597.585,1.471185496
598.963,1.471137816
600.344,1.47109032
601.728,1.471043006
603.115,1.470995874
604.505,1.470948922
605.898,1.470902149
607.295,1.470855554
608.695,1.470809135
610.098,1.470762892
611.505,1.470716823
612.914,1.470670928
614.327,1.470625205
615.744,1.470579653
617.163,1.470534271
618.586,1.470489057
620.012,1.470444012
621.441,1.470399133
622.874,1.470354419
624.309,1.47030987
625.749,1.470265484
627.191,1.47022126
628.637,1.470177198
630.086,1.470133295
631.539,1.470089552
632.994,1.470045966
634.454,1.470002538
635.916,1.469959265
637.382,1.469916147
638.851,1.469873183
640.324,1.469830371
641.8,1.469787711
643.28,1.469745202
644.763,1.469702842
646.249,1.469660631
647.739,1.469618567
649.232,1.46957665
650.729,1.469534878
652.229,1.469493251
653.732,1.469451767
655.239,1.469410426
656.75,1.469369226
658.264,1.469328167
659.781,1.469287247
661.302,1.469246466
662.827,1.469205823
664.354,1.469165316
665.886,1.469124944
667.421,1.469084708
668.96,1.469044605
670.502,1.469004634
672.047,1.468964796
673.597,1.468925088
675.149,1.46888551
676.706,1.468846061
678.266,1.46880674
679.829,1.468767546
681.396,1.468728479
682.967,1.468689536
684.542,1.468650717
686.12,1.468612022
687.701,1.46857345
689.287,1.468534999
690.876,1.468496668
692.468,1.468458457
694.065,1.468420365
695.665,1.468382391
697.268,1.468344533
698.876,1.468306792
700.487,1.468269166
702.101,1.468231654
703.72,1.468194256
705.342,1.46815697
706.968,1.468119796
708.598,1.468082732
710.231,1.468045778
711.869,1.468008934
713.51,1.467972197
715.154,1.467935568
716.803,1.467899045
718.455,1.467862628
720.112,1.467826316
721.772,1.467790107
723.436,1.467754001
725.103,1.467717998
726.775,1.467682096
728.45,1.467646294
730.129,1.467610592
731.813,1.467574989
733.5,1.467539483
735.19,1.467504075
736.885,1.467468763
738.584,1.467433547
740.287,1.467398425
741.993,1.467363397
743.704,1.467328462
745.418,1.46729362
747.136,1.467258868
748.859,1.467224208
750.585,1.467189637
752.315,1.467155155
754.05,1.467120761
755.788,1.467086454
757.53,1.467052235
759.276,1.467018101
761.027,1.466984052
762.781,1.466950087
764.539,1.466916205
766.302,1.466882406
768.068,1.466848689
769.839,1.466815054
771.614,1.466781498
773.392,1.466748022
775.175,1.466714624
776.962,1.466681305
778.753,1.466648063
780.548,1.466614897
782.348,1.466581807
784.151,1.466548791
785.959,1.46651585
787.771,1.466482982
789.587,1.466450187
791.407,1.466417464
793.231,1.466384812
795.06,1.46635223
796.893,1.466319717
798.73,1.466287274
800.571,1.466254899
802.417,1.466222591
804.266,1.466190349
806.12,1.466158174
807.979,1.466126064
809.841,1.466094018
811.708,1.466062035
813.579,1.466030116
815.455,1.465998259
817.335,1.465966463
819.219,1.465934728
821.107,1.465903053
823,1.465871438
824.897,1.465839881
826.799,1.465808381
828.705,1.465776939
830.615,1.465745554
832.53,1.465714223
834.449,1.465682948
836.373,1.465651728
838.301,1.46562056
840.233,1.465589446
842.17,1.465558383
844.112,1.465527373
846.057,1.465496412
848.008,1.465465502
849.963,1.465434641
851.922,1.465403829
853.886,1.465373064
855.854,1.465342347
857.827,1.465311676
859.805,1.465281051
861.787,1.465250471
863.773,1.465219935
865.765,1.465189443
867.76,1.465158995
869.761,1.465128588
871.766,1.465098223
873.776,1.465067899
875.79,1.465037615
877.809,1.465007371
879.832,1.464977165
881.86,1.464946998
883.893,1.464916868
885.931,1.464886775
887.973,1.464856718
890.02,1.464826697
892.072,1.46479671
894.128,1.464766758
896.19,1.464736838
898.255,1.464706952
900.326,1.464677097
902.402,1.464647274
904.482,1.464617482
906.567,1.464587719
908.657,1.464557986
910.751,1.464528282
912.851,1.464498605
914.955,1.464468956
917.064,1.464439334
919.179,1.464409737
921.297,1.464380166
923.421,1.46435062
925.55,1.464321097
927.684,1.464291598
929.822,1.464262121
931.966,1.464232666
934.114,1.464203233
936.267,1.46417382
938.426,1.464144427
940.589,1.464115053
942.757,1.464085698
944.93,1.464056361
947.109,1.464027042
949.292,1.463997739
951.48,1.463968452
953.674,1.46393918
955.872,1.463909923
958.076,1.46388068
960.284,1.46385145
962.498,1.463822233
964.717,1.463793028
966.941,1.463763834
969.17,1.463734651
971.404,1.463705478
973.643,1.463676314
975.888,1.463647159
978.137,1.463618012
980.392,1.463588873
982.652,1.46355974
984.918,1.463530613
987.188,1.463501492
989.464,1.463472375
991.745,1.463443263
994.031,1.463414154
996.322,1.463385047
998.619,1.463355943
1000.92,1.463326841
1003.23,1.463297739
1005.54,1.463268637
1007.86,1.463239535
1010.18,1.463210432
1012.51,1.463181326
1014.85,1.463152219
1017.18,1.463123108
1019.53,1.463093993
1021.88,1.463064874
1024.24,1.46303575
1026.6,1.46300662
1028.96,1.462977484
1031.34,1.46294834
1033.71,1.462919189
1036.1,1.46289003
1038.48,1.462860861
1040.88,1.462831683
1043.28,1.462802494
1045.68,1.462773294
1048.09,1.462744082
1050.51,1.462714858
1052.93,1.462685621
1055.36,1.462656371
1057.79,1.462627106
1060.23,1.462597826
1062.67,1.46256853
1065.12,1.462539218
1067.58,1.462509889
1070.04,1.462480542
1072.51,1.462451177
1074.98,1.462421793
1077.46,1.462392389
1079.94,1.462362965
1082.43,1.46233352
1084.93,1.462304053
1087.43,1.462274564
1089.93,1.462245052
1092.45,1.462215516
1094.96,1.462185956
1097.49,1.46215637
1100.02,1.462126759
1102.55,1.462097122
1105.1,1.462067458
1107.64,1.462037766
1110.2,1.462008045
1112.76,1.461978296
1115.32,1.461948516
1117.89,1.461918707
1120.47,1.461888866
1123.05,1.461858993
1125.64,1.461829088
1128.24,1.46179915
1130.84,1.461769178
1133.44,1.461739172
1136.06,1.46170913
1138.68,1.461679053
1141.3,1.461648939
1143.93,1.461618787
1146.57,1.461588598
1149.21,1.46155837
1151.86,1.461528103
1154.52,1.461497796
1157.18,1.461467448
1159.84,1.461437059
1162.52,1.461406627
1165.2,1.461376153
1167.88,1.461345635
1170.58,1.461315074
1173.28,1.461284467
1175.98,1.461253815
1178.69,1.461223116
1181.41,1.461192371
1184.13,1.461161578
1186.86,1.461130736
1189.6,1.461099846
1192.34,1.461068905
1195.09,1.461037914
1197.84,1.461006872
1200.6,1.460975778
1203.37,1.460944631
1206.15,1.460913431
1208.93,1.460882177
1211.71,1.460850868
1214.51,1.460819504
1217.31,1.460788083
1220.11,1.460756605
1222.93,1.46072507
1225.74,1.460693476
1228.57,1.460661823
1231.4,1.46063011
1234.24,1.460598337
1237.09,1.460566502
1239.94,1.460534605
1242.8,1.460502646
1245.66,1.460470623
1248.53,1.460438535
1251.41,1.460406383
1254.3,1.460374164
1257.19,1.46034188
1260.09,1.460309528
1262.99,1.460277108
1265.9,1.460244619
1268.82,1.46021206
1271.74,1.460179432
1274.68,1.460146732
1277.61,1.460113961
1280.56,1.460081117
1283.51,1.460048199
1286.47,1.460015208
1289.44,1.459982141
1292.41,1.459949
1295.39,1.459915781
1298.37,1.459882486
1301.37,1.459849112
1304.37,1.45981566
1307.37,1.459782129
1310.39,1.459748517
1313.41,1.459714824
1316.44,1.459681049
1319.47,1.459647191
1322.51,1.45961325
1325.56,1.459579225
1328.62,1.459545115
1331.68,1.459510919
1334.75,1.459476636
1337.83,1.459442266
1340.91,1.459407808
1344,1.45937326
1347.1,1.459338623
1350.21,1.459303895
1353.32,1.459269075
1356.44,1.459234163
1359.56,1.459199158
1362.7,1.459164059
1365.84,1.459128866
1368.99,1.459093576
1372.14,1.45905819
1375.31,1.459022707
1378.48,1.458987126
1381.66,1.458951445
1384.84,1.458915665
1388.03,1.458879784
1391.23,1.458843802
1394.44,1.458807717
1397.65,1.458771529
1400.88,1.458735237
1404.11,1.45869884
1407.34,1.458662337
1410.59,1.458625727
1413.84,1.45858901
1417.1,1.458552185
1420.36,1.45851525
1423.64,1.458478204
1426.92,1.458441048
1430.21,1.45840378
1433.51,1.458366398
1436.81,1.458328904
1440.12,1.458291294
1443.44,1.458253569
1446.77,1.458215727
1450.11,1.458177768
1453.45,1.45813969
1456.8,1.458101494
1460.16,1.458063177
1463.52,1.458024739
1466.9,1.457986179
1470.28,1.457947496
1473.67,1.45790869
1477.07,1.457869758
1480.47,1.457830701
1483.88,1.457791517
1487.3,1.457752206
1490.73,1.457712766
1494.17,1.457673196
1497.61,1.457633496
1501.07,1.457593664
1504.53,1.4575537
1507.99,1.457513602
1511.47,1.45747337
1514.96,1.457433003
1518.45,1.457392499
1521.95,1.457351858
1525.46,1.457311079
1528.97,1.45727016
1532.5,1.457229101
1536.03,1.4571879
1539.57,1.457146557
1543.12,1.457105071
1546.68,1.45706344
1550.24,1.457021664
1553.82,1.456979741
1557.4,1.456937671
1560.99,1.456895453
1564.59,1.456853084
1568.19,1.456810565
1571.81,1.456767895
1575.43,1.456725071
1579.06,1.456682094
1582.7,1.456638962
1586.35,1.456595674
1590.01,1.456552229
1593.68,1.456508626
1597.35,1.456464863
1601.03,1.45642094
1604.72,1.456376856
1608.42,1.456332609
1612.13,1.456288199
1615.85,1.456243624
1619.57,1.456198883
1623.3,1.456153975
1627.05,1.456108899
