wavelength (nm),refractive index
274.2,1.49634
274.4,1.49626
274.6,1.49618
274.8,1.49611
275,1.49603
275.2,1.49595
275.4,1.49587
275.6,1.4958
275.8,1.49572
276,1.49565
276.2,1.49557
276.4,1.4955
276.6,1.49542
276.8,1.49535
277,1.49527
277.2,1.4952
277.4,1.49512
277.6,1.49505
277.8,1.49498
278,1.4949
278.2,1.49483
278.4,1.49475
278.6,1.49468
278.8,1.49461
279,1.49453
279.2,1.49446
279.4,1.49439
279.6,1.49431
279.8,1.49424
280,1.49417
280.2,1.49409
280.4,1.49402
280.6,1.49395
280.8,1.49388
281,1.49381
281.2,1.49374
281.4,1.49367
281.6,1.4936
281.8,1.49354
282,1.49347
282.2,1.4934
282.4,1.49333
282.6,1.49326
282.8,1.49319
283,1.49312
283.2,1.49305
283.4,1.49299
283.6,1.49292
283.8,1.49285
284,1.49278
284.2,1.49271
284.4,1.49265
284.6,1.49258
284.8,1.49251
285,1.49244
285.2,1.49237
285.4,1.49231
285.6,1.49224
285.8,1.49217
286,1.49211
286.2,1.49204
286.4,1.49197
286.6,1.4919
286.8,1.49184
287,1.49177
287.2,1.4917
287.4,1.49164
287.6,1.49157
287.8,1.4915
288,1.49144
288.2,1.49137
288.4,1.49131
288.6,1.49124
288.8,1.49117
289,1.49111
289.2,1.49104
289.4,1.49098
289.6,1.49091
289.8,1.49085
290,1.49079
290.2,1.49073
290.4,1.49066
290.6,1.4906
290.8,1.49054
291,1.49048
291.2,1.49042
291.4,1.49035
291.6,1.49029
291.8,1.49023
292,1.49017
292.2,1.49011
292.4,1.49004
292.6,1.48998
292.8,1.48992
293,1.48986
293.2,1.4898
293.4,1.48974
293.6,1.48968
293.8,1.48961
294,1.48955
294.2,1.48949
294.4,1.48943
294.6,1.48937
294.8,1.48931
295,1.48925
295.2,1.48919
295.4,1.48913
295.6,1.48907
295.8,1.48901
296,1.48895
296.2,1.48889
296.4,1.48883
296.6,1.48877
296.8,1.48871
297,1.48865
297.2,1.48859
297.4,1.48854
297.6,1.48848
297.8,1.48842
298,1.48836
298.2,1.48831
298.4,1.48825
298.6,1.48819
298.8,1.48814
299,1.48808
299.2,1.48802
299.4,1.48796
299.6,1.48791
299.8,1.48785
300,1.48779
300.2,1.48774
300.4,1.48768
300.6,1.48762
300.8,1.48757
301,1.48751
301.2,1.48746
301.4,1.4874
301.6,1.48734
301.8,1.48729
302,1.48723
302.2,1.48718
302.4,1.48713
302.6,1.48707
302.8,1.48702
303,1.48697
303.2,1.48692
303.4,1.48687
303.6,1.48682
303.8,1.48677
304,1.48671
304.2,1.48666
304.4,1.48661
304.6,1.48656
304.8,1.48651
305,1.48646
305.2,1.48641
305.4,1.48636
305.6,1.48631
305.8,1.48626
306,1.48621
306.2,1.48616
306.4,1.48611
306.6,1.48606
306.8,1.48601
307,1.48596
307.2,1.48591
307.4,1.48586
307.6,1.48581
307.8,1.48576
308,1.48571
308.2,1.48566
308.4,1.48561
308.6,1.48556
308.8,1.48551
309,1.48546
309.2,1.48541
309.4,1.48536
309.6,1.48531
309.8,1.48526
310,1.48521
310.2,1.48516
310.4,1.48511
310.6,1.48506
310.8,1.48502
311,1.48497
311.2,1.48492
311.4,1.48487
311.6,1.48482
311.8,1.48477
312,1.48472
312.2,1.48467
312.4,1.48463
312.6,1.48458
312.8,1.48453
313,1.48448
313.2,1.48443
313.4,1.48438
313.6,1.48434
313.8,1.48429
314,1.48424
314.2,1.48419
314.4,1.48414
314.6,1.4841
314.8,1.48405
315,1.484
315.2,1.48395
315.4,1.48391
315.6,1.48386
315.8,1.48381
316,1.48376
316.2,1.48372
316.4,1.48367
316.6,1.48362
316.8,1.48358
317,1.48353
317.2,1.48348
317.4,1.48343
317.6,1.48339
317.8,1.48334
318,1.48329
318.2,1.48325
318.4,1.4832
318.6,1.48315
318.8,1.48311
319,1.48306
319.2,1.48301
319.4,1.48297
319.6,1.48292
319.8,1.48287
320,1.48283
320.2,1.48278
320.4,1.48274
320.6,1.48269
320.8,1.48264
321,1.4826
321.2,1.48255
321.4,1.48251
321.6,1.48246
321.8,1.48241
322,1.48237
322.2,1.48232
322.4,1.48228
322.6,1.48223
322.8,1.48219
323,1.48214
323.2,1.4821
323.4,1.48205
323.6,1.48201
323.8,1.48196
324,1.48192
324.2,1.48187
324.4,1.48183
324.6,1.48178
324.8,1.48174
325,1.48169
325.2,1.48165
325.4,1.4816
325.6,1.48156
325.8,1.48151
326,1.48147
326.2,1.48142
326.4,1.48138
326.6,1.48133
326.8,1.48129
327,1.48124
327.2,1.4812
327.4,1.48116
327.6,1.48111
327.8,1.48107
328,1.48102
328.2,1.48098
328.4,1.48094
328.6,1.48089
328.8,1.48085
329,1.4808
329.2,1.48076
329.4,1.48072
329.6,1.48067
329.8,1.48063
330,1.48059
330.2,1.48054
330.4,1.4805
330.6,1.48046
330.8,1.48042
331,1.48038
331.2,1.48034
331.4,1.4803
331.6,1.48026
331.8,1.48022
332,1.48018
332.2,1.48014
332.4,1.4801
332.6,1.48006
332.8,1.48002
333,1.47999
333.2,1.47995
333.4,1.47991
333.6,1.47987
333.8,1.47983
334,1.47979
334.2,1.47975
334.4,1.47971
334.6,1.47967
334.8,1.47963
335,1.4796
335.2,1.47956
335.4,1.47952
335.6,1.47948
335.8,1.47944
336,1.4794
336.2,1.47937
336.4,1.47933
336.6,1.47929
336.8,1.47925
337,1.47921
337.2,1.47918
337.4,1.47914
337.6,1.4791
337.8,1.47906
338,1.47902
338.2,1.47899
338.4,1.47895
338.6,1.47891
338.8,1.47887
339,1.47884
