wavelength (nm),refractive index
701.31476,2.07628
702.9032,2.07619
704.49158,2.0761
706.07977,2.07601
707.66791,2.07592
709.25598,2.07583
710.84393,2.07574
712.43176,2.07566
714.01959,2.07557
715.60724,2.07549
717.19482,2.0754
718.78229,2.07532
720.36963,2.07524
721.95691,2.07516
723.54407,2.07507
725.13117,2.07499
726.71814,2.07491
728.30499,2.07483
729.89172,2.07476
731.47839,2.07468
733.065,2.0746
734.65143,2.07452
736.23779,2.07445
737.82404,2.07437
739.41022,2.0743
740.99622,2.07422
742.58215,2.07415
744.16803,2.07407
745.75372,2.074
747.33936,2.07393
748.92487,2.07386
750.51025,2.07379
752.09558,2.07372
753.68079,2.07365
755.26581,2.07358
756.85077,2.07351
758.43567,2.07344
760.02039,2.07337
761.60504,2.0733
763.18958,2.07324
764.77399,2.07317
766.35828,2.07311
767.94251,2.07304
769.52655,2.07298
771.11054,2.07291
772.6944,2.07285
774.27814,2.07278
775.86176,2.07272
777.44525,2.07266
779.02869,2.0726
780.61194,2.07254
782.19507,2.07247
783.77814,2.07241
785.36108,2.07235
786.94391,2.07229
788.52655,2.07223
790.10913,2.07218
791.69159,2.07212
793.27393,2.07206
794.85614,2.072
796.43823,2.07194
798.0202,2.07189
799.60211,2.07183
801.18378,2.07178
802.76544,2.07172
804.34692,2.07167
805.92828,2.07161
807.50952,2.07156
809.09064,2.0715
810.67163,2.07145
812.2525,2.0714
813.83325,2.07134
815.41388,2.07129
816.99432,2.07124
818.57471,2.07119
820.15497,2.07113
821.73505,2.07108
823.31506,2.07103
824.8949,2.07098
826.47461,2.07093
828.0542,2.07088
829.63367,2.07083
831.21307,2.07079
832.7923,2.07074
834.3714,2.07069
835.95032,2.07064
837.52911,2.07059
839.10779,2.07055
840.68634,2.0705
842.26477,2.07045
843.84308,2.07041
845.4212,2.07036
846.99921,2.07031
848.57703,2.07027
850.15491,2.07022
851.73242,2.07018
853.30994,2.07013
854.88733,2.07009
856.46448,2.07005
858.0415,2.07
859.61847,2.06996
861.19519,2.06992
862.77185,2.06987
864.34845,2.06983
865.92481,2.06979
867.50098,2.06975
869.07703,2.0697
870.65302,2.06966
872.22882,2.06962
873.8045,2.06958
875.38007,2.06954
876.95538,2.0695
878.53064,2.06946
880.10577,2.06942
881.68066,2.06938
883.25549,2.06934
884.8302,2.0693
886.40466,2.06926
887.979,2.06922
889.55322,2.06919
891.12732,2.06915
892.70129,2.06911
894.27502,2.06907
895.84863,2.06903
897.42218,2.069
898.99548,2.06896
900.56867,2.06892
902.14172,2.06889
903.71466,2.06885
905.28729,2.06881
906.85999,2.06878
908.43231,2.06874
910.0047,2.06871
911.57678,2.06867
913.14874,2.06864
914.72058,2.0686
916.2923,2.06857
917.86377,2.06853
919.43518,2.0685
921.00635,2.06847
922.57733,2.06843
924.14825,2.0684
925.71906,2.06836
927.28955,2.06833
928.85999,2.0683
930.4303,2.06827
932.00037,2.06823
933.57031,2.0682
935.14014,2.06817
936.70978,2.06814
938.27918,2.06811
939.84851,2.06807
941.41766,2.06804
942.98663,2.06801
944.55548,2.06798
946.12415,2.06795
947.69269,2.06792
949.26105,2.06789
950.82922,2.06786
952.39716,2.06783
953.96503,2.0678
955.53272,2.06777
957.10022,2.06774
958.6676,2.06771
960.23474,2.06768
961.80176,2.06765
963.36865,2.06762
964.93536,2.06759
966.50183,2.06756
968.06818,2.06754
969.6344,2.06751
971.20038,2.06748
972.76624,2.06745
974.33185,2.06742
975.89734,2.0674
977.46271,2.06737
979.02783,2.06734
980.5929,2.06731
982.15772,2.06729
983.72229,2.06726
985.2868,2.06723
986.85107,2.06721
988.41522,2.06718
989.97913,2.06715
991.54285,2.06713
993.10657,2.0671
994.66992,2.06708
996.23322,2.06705
997.7962,2.06702
999.35907,2.067
1012.23547,2.06679
1015.64832,2.06674
1019.06152,2.06669
1022.47492,2.06664
1025.88855,2.06659
1029.30237,2.06654
1032.71643,2.06649
1036.13062,2.06644
1039.54517,2.06639
1042.95996,2.06634
1046.37488,2.06629
1049.79004,2.06625
1053.20532,2.0662
1056.62097,2.06615
1060.03687,2.06611
1063.45288,2.06606
1066.86926,2.06602
1070.28577,2.06597
1073.70239,2.06593
1077.11939,2.06589
1080.53674,2.06584
1083.9541,2.0658
1087.37183,2.06576
1090.78967,2.06572
1094.20776,2.06568
1097.62622,2.06564
1101.0448,2.0656
1104.46362,2.06556
1107.88269,2.06552
1111.302,2.06548
1114.72156,2.06544
1118.14136,2.0654
1121.56128,2.06536
1124.98169,2.06533
1128.4021,2.06529
1131.82288,2.06525
1135.2439,2.06522
1138.66516,2.06518
1142.08667,2.06514
1145.5083,2.06511
1148.9303,2.06507
1152.35242,2.06504
1155.7749,2.06501
1159.19751,2.06497
1162.62048,2.06494
1166.0437,2.0649
1169.46716,2.06487
1172.89087,2.06484
1176.31482,2.06481
1179.73901,2.06478
1183.16345,2.06474
1186.58814,2.06471
1190.01306,2.06468
1193.43823,2.06465
1196.86377,2.06462
1200.28943,2.06459
1203.71545,2.06456
1207.1416,2.06453
1210.56812,2.0645
1213.99487,2.06447
1217.42188,2.06444
1220.84912,2.06441
1224.27661,2.06439
1227.70435,2.06436
1231.13245,2.06433
1234.56079,2.0643
1237.98926,2.06428
1241.41821,2.06425
1244.84717,2.06422
1248.27661,2.0642
1251.70618,2.06417
1255.13599,2.06414
1258.56616,2.06412
1261.9967,2.06409
1265.42737,2.06407
1268.85828,2.06404
1272.28955,2.06402
1275.72107,2.06399
1279.15283,2.06397
1282.58484,2.06394
1286.01721,2.06392
1289.44983,2.06389
1292.88257,2.06387
1296.3158,2.06385
1299.74927,2.06382
1303.18286,2.0638
1306.61694,2.06378
1310.05115,2.06376
1313.4856,2.06373
1316.92053,2.06371
1320.35559,2.06369
1323.79089,2.06367
1327.22656,2.06365
1330.66248,2.06362
1334.09876,2.0636
1337.53528,2.06358
1340.97192,2.06356
1344.40906,2.06354
1347.84644,2.06352
1351.28406,2.0635
1354.72192,2.06348
1358.16028,2.06346
1361.59876,2.06344
1365.03748,2.06342
1368.47656,2.0634
1371.91602,2.06338
1375.35571,2.06336
1378.79565,2.06334
1382.23584,2.06332
1385.67639,2.0633
1389.11731,2.06328
1392.55835,2.06326
1395.99976,2.06325
1399.44153,2.06323
1402.88355,2.06321
1406.32593,2.06319
1409.76856,2.06317
1413.21143,2.06316
1416.65466,2.06314
1420.09815,2.06312
1423.54199,2.0631
1426.98608,2.06309
1430.43054,2.06307
1433.87524,2.06305
1437.32031,2.06304
1440.76575,2.06302
1444.2113,2.063
1447.65735,2.06299
1451.10352,2.06297
1454.55005,2.06295
1457.99695,2.06294
1461.44409,2.06292
1464.89172,2.06291
1468.33948,2.06289
1471.7876,2.06287
1475.23608,2.06286
1478.68481,2.06284
1482.13391,2.06283
1485.58325,2.06281
1489.03296,2.0628
1492.48291,2.06278
1495.93323,2.06277
1499.38391,2.06275
1502.83484,2.06274
1506.28613,2.06272
1509.73767,2.06271
1513.1897,2.0627
1516.64185,2.06268
1520.09448,2.06267
1523.54724,2.06265
1527.00049,2.06264
1530.45398,2.06263
1533.90796,2.06261
1537.36206,2.0626
1540.81665,2.06259
1544.27136,2.06257
1547.72656,2.06256
1551.18201,2.06255
1554.63794,2.06253
1558.09399,2.06252
1561.55054,2.06251
1565.0072,2.06249
1568.46448,2.06248
1571.92188,2.06247
1575.37964,2.06246
1578.83777,2.06244
1582.29627,2.06243
1585.75513,2.06242
1589.21423,2.06241
1592.67371,2.06239
1596.13355,2.06238
1599.59363,2.06237
1603.0542,2.06236
1606.51502,2.06235
1609.9762,2.06233
1613.43774,2.06232
1616.89954,2.06231
1620.36169,2.0623
1623.82422,2.06229
1627.28711,2.06228
1630.75037,2.06227
1634.21399,2.06225
1637.67786,2.06224
1641.14221,2.06223
1644.60669,2.06222
1648.07166,2.06221
1651.53687,2.0622
1655.00269,2.06219
1658.46875,2.06218
1661.93494,2.06217
1665.40173,2.06216
1668.86877,2.06215
1672.33618,2.06214
1675.80396,2.06213
1679.2721,2.06212
1682.7406,2.06211
1686.20935,2.06209
1689.67871,2.06208
1693.14819,2.06207
1696.61816,2.06206
